NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
69008001;ANCY_SAPC;45.843333;4.508167;626;20260328;0.8;1;-1.2;1;227;9;6.0;1;1139;9;3.0;1;2.4;1;7.2;1;;;;;289;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260329;0.0;1;0.4;1;458;9;7.8;1;1350;9;3.5;1;4.1;1;7.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260330;0.2;1;0.9;1;28;9;10.9;1;1432;9;6.0;1;5.9;1;10.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260331;0.0;1;1.6;1;552;9;7.3;1;1304;9;3.6;1;4.5;1;5.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69028001;BRINDAS;45.713333;4.693167;317;20260101;0.0;1;-8.2;1;649;9;3.9;1;1404;9;-3.0;1;-2.2;1;12.1;1;-9.5;9;;;1112;9;1.1;1;;;2.6;1;150;1;1028;9;4.2;1;180;1;1140;9;;;;;;;3.7;1;180;1;1140;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260102;0.2;1;-5.6;1;635;9;7.0;1;1355;9;-0.1;1;0.7;1;12.6;1;-8.3;9;;;725;9;1.3;1;;;2.8;1;330;1;240;9;5.1;1;340;1;1802;9;;;;;;;4.7;1;340;1;1802;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260103;0.0;1;-1.7;1;2214;9;3.9;1;1354;9;0.1;1;1.1;1;5.6;1;-4.4;9;;;782;9;1.6;1;;;4.3;1;50;1;1233;9;6.9;1;350;1;1615;9;;;;;;;6.3;1;350;1;1606;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260104;0.0;1;-4.4;1;2207;9;1.4;1;1203;9;-1.2;1;-1.5;1;5.8;1;-7.8;9;;;1151;9;2.7;1;;;5.7;1;40;1;1325;9;11.3;1;40;1;1136;9;;;;;;;10.0;1;40;1;1136;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260105;0.0;1;-3.1;1;1736;9;0.5;1;1335;9;-2.6;1;-1.3;1;3.6;1;-6.1;9;;;1268;9;1.9;1;;;5.0;1;50;1;1230;9;8.3;1;40;1;1327;9;;;;;;;7.4;1;50;1;1230;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260106;0.0;1;-9.3;1;507;9;-1.6;1;2028;9;-3.9;1;-5.5;1;7.7;1;-11.1;9;;;1440;9;2.5;1;;;4.4;1;10;1;1925;9;10.1;1;350;1;1925;9;;;;;;;9.0;1;350;1;1925;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260107;5.0;1;-4.8;1;814;9;0.4;1;1107;9;-1.9;1;-2.2;1;5.2;1;-7.5;9;;;1363;9;1.7;1;;;4.4;1;190;1;1457;9;8.0;1;360;1;34;9;;;;;;;7.2;1;360;1;34;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260108;3.2;1;-3.7;1;2122;9;10.3;1;26;9;1.7;1;3.3;1;14.0;1;-6.6;9;;;378;9;1.9;1;;;6.2;1;230;9;2356;9;11.5;1;230;9;2352;9;;;;;;;11.3;1;230;1;2352;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260109;2.8;1;1.7;1;1801;9;9.7;1;1223;9;6.3;1;5.7;1;8.0;1;0.7;9;;;0;9;5.4;1;;;10.6;1;280;1;937;9;20.4;1;260;1;928;9;;;;;;;18.4;1;260;1;928;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260110;0.4;1;2.0;1;152;9;5.9;1;1411;9;3.6;1;4.0;1;3.9;1;-0.3;9;;;0;9;3.4;1;;;7.4;1;300;1;402;9;13.4;1;300;1;358;9;;;;;;;12.8;1;300;1;358;9;;;0;1
69028001;BRINDAS;45.713333;4.693167;317;20260111;0.4;1;-1.0;1;1744;9;5.2;1;1159;9;1.7;1;2.1;1;6.2;1;-3.9;9;;;285;9;1.6;1;;;3.7;1;310;1;439;9;7.3;1;330;1;42;9;;;;;;;6.8;1;330;1;36;9;;;0;1
