commune_id;code_insee;commune_nom;groupe_commune;departement;pays;sources;region_libelle;departement_libelle;arrondissement_libelle;commune_libelle_insee;latitude;longitude;localisation_azure
INSEE_38026;38026;La Balme-les-Grottes;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Balme-les-Grottes;45.843479744188386;5.319632886422239;LA BALME LES GROTTES, France
INSEE_38035;38035;Beauvoir-de-Marc;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Beauvoir-de-Marc;45.51834862320065;5.080653231854265;BEAUVOIR DE MARC, France
INSEE_38048;38048;Bonnefamille;Communauté de communes Collines Isère Nord Communauté;38;France;rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Bonnefamille;45.59903970275402;5.108730631394035;BONNEFAMILLE, France
INSEE_38053;38053;Bourgoin-Jallieu;Communauté d'agglomération Porte de l'Isère (CAPI);38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Bourgoin-Jallieu;45.60253457437658;5.274721160591369;BOURGOIN JALLIEU, France
INSEE_38058;38058;Brézins;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Brézins;45.3475451250024;5.305800865546984;BREZINS, France
INSEE_38064;38064;Cessieu;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Cessieu;45.569430401431305;5.374600490358901;CESSIEU, France
INSEE_38067;38067;Chamagnieu;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Chamagnieu;45.6887268622371;5.1679361830960335;CHAMAGNIEU, France
INSEE_38072;38072;Chanas;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Chanas;45.31933767010523;4.832718946889668;CHANAS, France
INSEE_38085;38085;Charvieu-Chavagneux;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Charvieu-Chavagneux;45.73858808966103;5.152180735607223;CHARVIEU CHAVAGNEUX, France
INSEE_38087;38087;Chasse-sur-Rhône;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Chasse-sur-Rhône;45.57803055753747;4.8129098164485224;CHASSE SUR RHONE, France
INSEE_38097;38097;Chavanoz;Communauté de communes Lyon Saint Exupéry en Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Chavanoz;45.769588799142824;5.171871444618496;CHAVANOZ, France
INSEE_38101;38101;Cheyssieu;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Cheyssieu;45.426553092206774;4.84229505813563;CHEYSSIEU, France
INSEE_38104;38104;Chimilin;Communauté de communes Les Vals du Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Chimilin;45.57228333289159;5.5884361101557065;CHIMILIN, France
INSEE_38107;38107;Chonas-l'Amballan;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Chonas-l'Amballan;45.46467217674944;4.80405398404281;CHONAS L AMBALLAN, France
INSEE_38109;38109;Chozeau;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Chozeau;45.69874781696148;5.208268406352147;CHOZEAU, France
INSEE_38110;38110;Chuzelles;Communauté d'agglomération Vienne Condrieu;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Chuzelles;45.57699300426128;4.879166967988349;CHUZELLES, France
INSEE_38124;38124;Corbelin;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Corbelin;45.600404708832485;5.550189487068588;CORBELIN, France
INSEE_38130;38130;La Côte-Saint-André;Communauté de communes Bièvre Isère;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Côte-Saint-André;45.38436059276036;5.258641391972295;LA COTE ST ANDRE, France
