station_taxi_id;commune_id;fid;gid;nom;adresse;commune;code_insee;nb_emplacements;telephone_flag;separateur_taxi;abri_flag;panneau_flag;diodes_flag;totem_flag;observation;validite;longitude;latitude;geometrie_wkt
TAXI_1282;INSEE_69029;pvo_patrimoine_voirie.pvostationtaxi.1282;1282;TAXBRO02;Face 104, Boulevard Pinel;Bron;69029;7;0;Bordure granit;1;1;0;1;Arrêté N°STP2019_032;Validé;4,893490479048848;45,74139695843864;POINT (4.893490479048848 45.74139695843864)
TAXI_4006;INSEE_69286;pvo_patrimoine_voirie.pvostationtaxi.4006;4006;TAXRIL02;79b, Avenue de l'Europe;Rillieux-la-Pape;69286;3;0;Bordure granit;0;1;0;0;;Validé;4,902449321470611;45,817880971876285;POINT (4.902449321470611 45.817880971876285)
TAXI_4022;INSEE_69283;pvo_patrimoine_voirie.pvostationtaxi.4022;4022;TAXMIO01;5, Rue de la République;Mions;69283;1;0;Peinture;0;1;0;0;;Validé;4,957697406480633;45,664549868709855;POINT (4.957697406480633 45.664549868709855)
TAXI_4024;INSEE_69168;pvo_patrimoine_voirie.pvostationtaxi.4024;4024;TAXROC01;Face 216, Quai Pierre Dupont;Rochetaillée-sur-Saône;69168;1;0;Peinture;0;1;0;0;Terrain de sport;Validé;4,834817981167695;45,84197940251432;POINT (4.834817981167695 45.84197940251432)
TAXI_361;INSEE_69389;pvo_patrimoine_voirie.pvostationtaxi.361;361;TAX903;Rue Maurice Béjart;Lyon 9e Arrondissement;69389;5;0;Bordure granit;1;1;0;1;Station Duchère;Validé;4,792939675777063;45,78712637584417;POINT (4.792939675777063 45.78712637584417)
TAXI_4048;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.4048;4048;TAX212;17, Quai Jules Courmont;Lyon 2e Arrondissement;69382;;;;0;;;;Arrêté n°2021RP39597 le 29/07/21 / non trouvé en novembre 2021;En projet ou en cours de validation;4,837550419205811;45,75999173818899;POINT (4.837550419205811 45.75999173818899)
TAXI_4044;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.4044;4044;TAX209;106, Cours Charlemagne;Lyon 2e Arrondissement;69382;3;0;Autre;0;1;0;1;;Validé;4,819743824066763;45,741617409469654;POINT (4.819743824066763 45.741617409469654)
TAXI_332;INSEE_69383;pvo_patrimoine_voirie.pvostationtaxi.332;332;TAX303;Vivier Merle;Lyon 3e Arrondissement;69383;46;0;Peinture;1;1;0;0;Station Gare Part-Dieu/Béraudier (1WC);Validé;4,858638876618679;45,75942911578978;POINT (4.858638876618679 45.75942911578978)
TAXI_970;INSEE_69387;pvo_patrimoine_voirie.pvostationtaxi.970;970;TAX703;16, Place Docteurs Charles et Christophe Mérieux;Lyon 7e Arrondissement;69387;10;0;Bordure granit;0;1;0;1;Station Halle Tony Garnier;Validé;4,825899555694043;45,73207696638619;POINT (4.825899555694043 45.73207696638619)
TAXI_4038;INSEE_69085;pvo_patrimoine_voirie.pvostationtaxi.4038;4038;TAXFSS02;56, Rue Gambetta;Fleurieu-sur-Saône;69085;1;0;Peinture;0;1;0;0;Arrêté N°2019-39 du 05/03/2019;Validé;4,847054433628374;45,8349458449176;POINT (4.847054433628374 45.8349458449176)
